datetime,power_demand_mwh,광주_temperature_c,광주_temperature_c_missing,광주_rainfall_mm,광주_rainfall_mm_missing,광주_wind_speed_ms,광주_wind_speed_ms_missing,광주_humidity_pct,광주_humidity_pct_missing,광주_sunshine_hr,광주_sunshine_hr_missing,광주_solar_radiation_mj_m2,광주_solar_radiation_mj_m2_missing,대구_temperature_c,대구_temperature_c_missing,대구_rainfall_mm,대구_rainfall_mm_missing,대구_wind_speed_ms,대구_wind_speed_ms_missing,대구_humidity_pct,대구_humidity_pct_missing,대구_sunshine_hr,대구_sunshine_hr_missing,대구_solar_radiation_mj_m2,대구_solar_radiation_mj_m2_missing,대전_temperature_c,대전_temperature_c_missing,대전_rainfall_mm,대전_rainfall_mm_missing,대전_wind_speed_ms,대전_wind_speed_ms_missing,대전_humidity_pct,대전_humidity_pct_missing,대전_sunshine_hr,대전_sunshine_hr_missing,대전_solar_radiation_mj_m2,대전_solar_radiation_mj_m2_missing,부산_temperature_c,부산_temperature_c_missing,부산_rainfall_mm,부산_rainfall_mm_missing,부산_wind_speed_ms,부산_wind_speed_ms_missing,부산_humidity_pct,부산_humidity_pct_missing,부산_sunshine_hr,부산_sunshine_hr_missing,부산_solar_radiation_mj_m2,부산_solar_radiation_mj_m2_missing,서울_temperature_c,서울_temperature_c_missing,서울_rainfall_mm,서울_rainfall_mm_missing,서울_wind_speed_ms,서울_wind_speed_ms_missing,서울_humidity_pct,서울_humidity_pct_missing,서울_sunshine_hr,서울_sunshine_hr_missing,서울_solar_radiation_mj_m2,서울_solar_radiation_mj_m2_missing,인천_temperature_c,인천_temperature_c_missing,인천_rainfall_mm,인천_rainfall_mm_missing,인천_wind_speed_ms,인천_wind_speed_ms_missing,인천_humidity_pct,인천_humidity_pct_missing,인천_sunshine_hr,인천_sunshine_hr_missing,인천_solar_radiation_mj_m2,인천_solar_radiation_mj_m2_missing,제주_temperature_c,제주_temperature_c_missing,제주_rainfall_mm,제주_rainfall_mm_missing,제주_wind_speed_ms,제주_wind_speed_ms_missing,제주_humidity_pct,제주_humidity_pct_missing,제주_sunshine_hr,제주_sunshine_hr_missing,제주_solar_radiation_mj_m2,제주_solar_radiation_mj_m2_missing,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,is_weekend
2025-10-20 01:00:00,51165.0,14.0,0,0.0,1,1.5,0,70.0,0,0.0,1,0.0,1,15.5,0,0.0,1,2.2,0,67.0,0,0.0,1,0.0,1,10.4,0,0.0,1,2.7,0,69.0,0,0.0,1,0.0,1,17.6,0,0.0,1,1.0,0,79.0,0,0.0,1,0.0,1,8.2,0,0.0,1,4.3,0,67.0,0,0.0,1,0.0,1,7.0,0,0.0,1,3.9,0,62.0,0,0.0,1,0.0,1,19.1,0,0.0,1,6.3,0,70.0,0,0.0,1,0.0,1,0.25881904510252074,0.9659258262890683,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 02:00:00,49250.0,12.8,0,0.0,1,1.7,0,73.0,0,0.0,1,0.0,1,14.8,0,0.0,1,2.1,0,61.0,0,0.0,1,0.0,1,9.7,0,0.0,1,3.2,0,77.0,0,0.0,1,0.0,1,17.4,0,0.0,1,1.8,0,79.0,0,0.0,1,0.0,1,7.3,0,0.0,1,2.7,0,72.0,0,0.0,1,0.0,1,6.2,0,0.0,1,4.4,0,64.0,0,0.0,1,0.0,1,18.7,0,0.0,1,6.9,0,64.0,0,0.0,1,0.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 03:00:00,48295.0,12.4,0,0.0,1,1.7,0,75.0,0,0.0,1,0.0,1,14.4,0,0.0,1,2.4,0,64.0,0,0.0,1,0.0,1,8.8,0,0.0,1,0.8,0,75.0,0,0.0,1,0.0,1,17.2,0,0.0,1,0.7,0,78.0,0,0.0,1,0.0,1,6.7,0,0.0,1,3.9,0,72.0,0,0.0,1,0.0,1,5.7,0,0.0,1,4.3,0,64.0,0,0.0,1,0.0,1,18.2,0,0.0,1,5.7,0,67.0,0,0.0,1,0.0,1,0.7071067811865475,0.7071067811865476,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 04:00:00,48020.0,11.3,0,0.0,1,1.7,0,76.0,0,0.0,1,0.0,1,13.7,0,0.0,1,3.1,0,68.0,0,0.0,1,0.0,1,8.0,0,0.0,1,1.1,0,74.0,0,0.0,1,0.0,1,16.9,0,0.0,1,1.3,0,76.0,0,0.0,1,0.0,1,6.2,0,0.0,1,2.4,0,73.0,0,0.0,1,0.0,1,5.4,0,0.0,1,3.3,0,67.0,0,0.0,1,0.0,1,17.8,0,0.0,1,6.2,0,68.0,0,0.0,1,0.0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 05:00:00,48534.0,10.4,0,0.0,1,1.9,0,79.0,0,0.0,1,0.0,1,12.9,0,0.0,1,2.0,0,71.0,0,0.0,1,0.0,1,7.3,0,0.0,1,1.2,0,75.0,0,0.0,1,0.0,1,16.1,0,0.0,1,2.3,0,85.0,0,0.0,1,0.0,1,5.9,0,0.0,1,2.2,0,76.0,0,0.0,1,0.0,1,5.2,0,0.0,1,3.1,0,70.0,0,0.0,1,0.0,1,17.3,0,0.0,1,5.6,0,65.0,0,0.0,1,0.0,1,0.9659258262890683,0.25881904510252074,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 06:00:00,50614.0,10.1,0,0.0,1,2.3,0,79.0,0,0.0,1,0.0,1,12.6,0,0.0,1,2.3,0,70.0,0,0.0,1,0.0,1,6.8,0,0.0,1,1.6,0,80.0,0,0.0,1,0.0,1,15.6,0,0.0,1,2.3,0,81.0,0,0.0,1,0.0,1,5.6,0,0.0,1,1.7,0,77.0,0,0.0,1,0.0,1,5.1,0,0.0,1,3.4,0,71.0,0,0.0,1,0.0,1,17.0,0,0.0,1,5.8,0,70.0,0,0.0,1,0.0,1,1.0,6.123233995736766e-17,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 07:00:00,54468.0,9.3,0,0.0,1,2.0,0,80.0,0,0.0,0,0.07,0,12.1,0,0.0,1,2.3,0,71.0,0,0.0,0,0.01,0,6.5,0,0.0,1,1.9,0,78.0,0,0.0,0,0.01,0,15.2,0,0.0,1,2.4,0,80.0,0,0.1,0,0.02,0,5.3,0,0.0,1,1.3,0,79.0,0,0.0,0,0.0,0,5.0,0,0.0,1,4.1,0,72.0,0,0.0,0,0.0,0,16.6,0,0.0,1,5.3,0,67.0,0,0.0,0,0.0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 08:00:00,58635.0,9.7,0,0.0,1,2.6,0,75.0,0,0.4,0,0.38,0,13.0,0,0.0,1,2.5,0,65.0,0,0.8,0,0.37,0,8.1,0,0.0,1,1.3,0,71.0,0,1.0,0,0.37,0,17.0,0,0.0,1,2.2,0,68.0,0,1.0,0,0.46,0,6.3,0,0.0,1,2.4,0,80.0,0,0.1,0,0.2,0,5.6,0,0.0,1,3.7,0,71.0,0,0.0,0,0.14,0,16.5,0,0.0,1,5.7,0,70.0,0,0.0,0,0.03,0,0.8660254037844387,-0.49999999999999983,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 09:00:00,60569.0,11.4,0,0.0,1,1.7,0,67.0,0,1.0,0,1.21,0,14.3,0,0.0,1,1.9,0,60.0,0,0.3,0,0.73,0,9.9,0,0.0,1,1.9,0,63.0,0,1.0,0,1.07,0,19.4,0,0.0,1,3.8,0,63.0,0,1.0,0,1.22,0,7.7,0,0.0,1,2.2,0,76.0,0,0.3,0,0.64,0,7.2,0,0.0,1,2.1,0,70.0,0,0.3,0,0.6,0,16.5,0,0.0,1,4.6,0,70.0,0,0.0,0,0.3,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,-1.0,-1.8369701987210297e-16,0
2025-10-20 10:00:00,60093.0,13.0,0,0.0,1,2.4,0,56.0,0,1.0,0,1.9,0,15.7,0,0.0,1,1.4,0,56.0,0,0.6,0,1.39,0,11.3,0,0.0,1,1.4,0,61.0,0,1.0,0,1.7,0,21.0,0,0.0,1,3.3,0,63.0,0,1.0,0,1.87,0,10.1,0,0.0,1,1.3,0,69.0,0,0.7,0,1.45,0,10.6,0,0.0,1,2.2,0,65.0,0,0.8,0,1.62,0,16.9,0,0.0,1,4.5,0,65.0,0,0.1,0,0.73,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,-1.0,-1.8369701987210297e-16,0
