datetime,power_demand_mwh,temperature_c,rainfall_mm,wind_speed_ms,humidity_pct,sunshine_hr,solar_radiation_mj_m2,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2025-01-01 01:00:00,62256.0,-1.7,0.0,1.1,62,0.0,0.0,1,2,1,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 02:00:00,59663.0,-1.8,0.0,0.5,64,0.0,0.0,2,2,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 03:00:00,57880.0,-2.0,0.0,1.9,66,0.0,0.0,3,2,1,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 04:00:00,57098.0,-2.3,0.0,2.2,67,0.0,0.0,4,2,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 05:00:00,56966.0,-2.5,0.0,2.0,69,0.0,0.0,5,2,1,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 06:00:00,57442.0,-1.9,0.0,2.1,68,0.0,0.0,6,2,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 07:00:00,58338.0,-1.3,0.0,2.7,68,0.0,0.0,7,2,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 08:00:00,58868.0,-0.8,0.0,2.4,68,0.0,0.0,8,2,1,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 09:00:00,58090.0,-0.1,0.0,1.7,68,0.0,0.13,9,2,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 10:00:00,54566.0,1.2,0.0,1.6,66,0.0,0.37,10,2,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 11:00:00,51542.0,3.1,0.0,1.6,60,0.4,0.93,11,2,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 12:00:00,49062.0,6.7,0.0,2.1,55,1.0,1.7,12,2,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 13:00:00,47670.0,7.8,0.0,3.3,51,0.9,1.73,13,2,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 14:00:00,47922.0,7.7,0.0,3.9,54,0.3,0.81,14,2,1,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 15:00:00,49914.0,8.5,0.0,4.7,52,1.0,1.36,15,2,1,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 16:00:00,53489.0,8.4,0.0,4.2,50,1.0,1.08,16,2,1,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 17:00:00,58061.0,7.1,0.0,2.4,53,1.0,0.41,17,2,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 18:00:00,62545.0,5.6,0.0,2.9,59,0.0,0.03,18,2,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 19:00:00,64403.0,4.7,0.0,1.7,64,0.0,0.0,19,2,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 20:00:00,64403.0,3.8,0.0,2.2,73,0.0,0.0,20,2,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 21:00:00,63653.0,3.3,0.0,1.0,74,0.0,0.0,21,2,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 22:00:00,62722.0,3.0,0.0,2.0,72,0.0,0.0,22,2,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-01 23:00:00,62249.0,1.9,0.0,1.2,71,0.0,0.0,23,2,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.0,1.0
2025-01-02 00:00:00,61871.0,0.7,0.0,1.5,72,0.0,0.0,0,3,1,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 01:00:00,59219.0,0.4,0.0,1.4,74,0.0,0.0,1,3,1,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 02:00:00,57092.0,-0.7,0.0,1.2,75,0.0,0.0,2,3,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 03:00:00,55931.0,-1.4,0.0,1.6,70,0.0,0.0,3,3,1,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 04:00:00,55597.0,-1.5,0.0,2.0,72,0.0,0.0,4,3,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 05:00:00,56374.0,-2.3,0.0,1.1,73,0.0,0.0,5,3,1,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 06:00:00,58691.0,-2.5,0.0,0.9,74,0.0,0.0,6,3,1,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 07:00:00,63081.0,-2.5,0.0,2.8,74,0.0,0.0,7,3,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 08:00:00,70103.0,-2.8,0.0,0.8,67,0.0,0.0,8,3,1,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 09:00:00,77832.0,-2.3,0.0,0.8,66,0.9,0.31,9,3,1,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 10:00:00,77627.0,-0.3,0.0,1.7,56,1.0,0.69,10,3,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 11:00:00,74052.0,1.9,0.0,2.4,41,1.0,1.33,11,3,1,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 12:00:00,70141.0,3.5,0.0,2.8,39,1.0,1.79,12,3,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 13:00:00,65601.0,4.8,0.0,3.6,29,1.0,1.97,13,3,1,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,1.0
2025-01-02 14:00:00,67941.0,5.2,0.0,3.3,25,1.0,1.9,14,3,1,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,1.0
