,count,mean,std,min,25%,50%,75%,max
power_demand_mwh,6132.0,65396.930854533595,10589.791905462169,35811.0,57537.75,64042.0,72350.75,95951.0
광주_temperature_c,6132.0,16.204125896934116,10.982389230225667,-10.0,6.1,18.5,25.7,35.8
광주_temperature_c_missing,6132.0,0.00016307893020221786,0.012770236105969928,0.0,0.0,0.0,0.0,1.0
광주_rainfall_mm,6132.0,0.2767775603392042,2.399330260646963,0.0,0.0,0.0,0.0,64.5
광주_rainfall_mm_missing,6132.0,0.8700260926288323,0.3363021481640558,0.0,1.0,1.0,1.0,1.0
광주_wind_speed_ms,6132.0,1.4798108284409655,1.0291542499361483,0.0,0.7,1.3,2.1,6.9
광주_wind_speed_ms_missing,6132.0,0.0016307893020221786,0.040353381336041244,0.0,0.0,0.0,0.0,1.0
광주_humidity_pct,6132.0,68.8600782778865,18.46472321622257,14.0,56.0,72.0,84.0,99.0
광주_humidity_pct_missing,6132.0,0.00016307893020221786,0.012770236105969928,0.0,0.0,0.0,0.0,1.0
광주_sunshine_hr,6132.0,0.28887801696020876,0.4138212160082848,0.0,0.0,0.0,0.7,1.0
광주_sunshine_hr_missing,6132.0,0.43215916503587737,0.4954166396279453,0.0,0.0,0.0,1.0,1.0
광주_solar_radiation_mj_m2,6132.0,0.7300717547292889,1.0201171229083503,0.0,0.0,0.11,1.2625,3.78
광주_solar_radiation_mj_m2_missing,6132.0,0.43215916503587737,0.4954166396279453,0.0,0.0,0.0,1.0,1.0
대구_temperature_c,6132.0,16.434947814742337,11.406301290566802,-10.6,6.2,18.4,26.0,37.4
대구_temperature_c_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구_rainfall_mm,6132.0,0.1437051532941944,1.2247733052065162,0.0,0.0,0.0,0.0,38.2
대구_rainfall_mm_missing,6132.0,0.8957925636007827,0.3055543686702726,0.0,1.0,1.0,1.0,1.0
대구_wind_speed_ms,6132.0,2.219161774298761,1.514314802717355,0.0,1.1,1.9,3.0,10.4
대구_wind_speed_ms_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구_humidity_pct,6132.0,59.355512067840834,21.82270527347518,10.0,43.0,60.0,78.0,99.0
대구_humidity_pct_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구_sunshine_hr,6132.0,0.30665362035225047,0.42335745365521343,0.0,0.0,0.0,0.8,1.0
대구_sunshine_hr_missing,6132.0,0.4295499021526419,0.49505227054079615,0.0,0.0,0.0,1.0,1.0
대구_solar_radiation_mj_m2,6132.0,0.7261170906718851,1.0200077912918213,0.0,0.0,0.06,1.3,3.68
대구_solar_radiation_mj_m2_missing,6132.0,0.4295499021526419,0.49505227054079615,0.0,0.0,0.0,1.0,1.0
대전_temperature_c,6132.0,15.842367906066537,11.682093361374331,-12.9,5.5,18.3,25.8,36.5
대전_temperature_c_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전_rainfall_mm,6132.0,0.17323874755381605,1.2866945457635992,0.0,0.0,0.0,0.0,36.1
대전_rainfall_mm_missing,6132.0,0.8767123287671232,0.32879393406229585,0.0,1.0,1.0,1.0,1.0
대전_wind_speed_ms,6132.0,1.884409654272668,1.2175529123067264,0.0,1.0,1.7,2.5,8.0
대전_wind_speed_ms_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전_humidity_pct,6132.0,64.5339530332681,20.931728274782174,8.0,50.0,66.0,82.0,99.0
대전_humidity_pct_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전_sunshine_hr,6132.0,0.292791911285062,0.4141836551879973,0.0,0.0,0.0,0.7,1.0
대전_sunshine_hr_missing,6132.0,0.42906066536203524,0.49498238996244953,0.0,0.0,0.0,1.0,1.0
대전_solar_radiation_mj_m2,6132.0,0.7007566862361384,1.00151572365885,0.0,0.0,0.04,1.23,3.66
대전_solar_radiation_mj_m2_missing,6132.0,0.4370515329419439,0.4960621136210163,0.0,0.0,0.0,1.0,1.0
부산_temperature_c,6132.0,16.487818003913898,9.983532518454497,-10.0,7.8,17.2,25.6,34.5
부산_temperature_c_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산_rainfall_mm,6132.0,0.16819960861056749,1.5677417549946755,0.0,0.0,0.0,0.0,60.2
부산_rainfall_mm_missing,6132.0,0.9031311154598826,0.2958032675357773,0.0,1.0,1.0,1.0,1.0
부산_wind_speed_ms,6132.0,3.4233039791258966,1.7715644748444503,0.0,2.2,3.1,4.4,12.2
부산_wind_speed_ms_missing,6132.0,0.0016307893020221786,0.040353381336041244,0.0,0.0,0.0,0.0,1.0
부산_humidity_pct,6132.0,64.03277886497065,20.368623835879657,15.0,48.0,67.0,80.0,97.0
부산_humidity_pct_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산_sunshine_hr,6132.0,0.3156229615133725,0.4337505129312425,0.0,0.0,0.0,0.9,1.0
부산_sunshine_hr_missing,6132.0,0.43101761252446186,0.49525895292407507,0.0,0.0,0.0,1.0,1.0
부산_solar_radiation_mj_m2,6132.0,0.7791307893020221,1.0948805162311266,0.0,0.0,0.05,1.46,3.88
부산_solar_radiation_mj_m2_missing,6132.0,0.43101761252446186,0.49525895292407507,0.0,0.0,0.0,1.0,1.0
서울_temperature_c,6132.0,15.495335942596219,11.981813861712583,-12.1,4.9,17.7,26.1,37.6
서울_temperature_c_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울_rainfall_mm,6132.0,0.18506196999347685,1.3722136951388568,0.0,0.0,0.0,0.0,31.4
서울_rainfall_mm_missing,6132.0,0.8659491193737769,0.3407347583120595,0.0,1.0,1.0,1.0,1.0
서울_wind_speed_ms,6132.0,2.4112687540769735,1.150339197357124,0.0,1.6,2.3,3.1,8.4
서울_wind_speed_ms_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울_humidity_pct,6132.0,65.0075016307893,18.65725703524244,13.0,51.0,66.0,80.25,99.0
서울_humidity_pct_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울_sunshine_hr,6132.0,0.2659980430528376,0.4036331075725941,0.0,0.0,0.0,0.6,1.0
서울_sunshine_hr_missing,6132.0,0.4287345075016308,0.49493552871636387,0.0,0.0,0.0,1.0,1.0
서울_solar_radiation_mj_m2,6132.0,0.6707110241356817,0.9777261591731888,0.0,0.0,0.06,1.14,3.82
서울_solar_radiation_mj_m2_missing,6132.0,0.4287345075016308,0.49493552871636387,0.0,0.0,0.0,1.0,1.0
인천_temperature_c,6132.0,14.455348988910632,11.487823502284147,-11.7,4.175,16.15,25.1,35.6
인천_temperature_c_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_rainfall_mm,6132.0,0.17588062622309197,1.66740278802514,0.0,0.0,0.0,0.0,60.8
인천_rainfall_mm_missing,6132.0,0.8812785388127854,0.3234868483109118,0.0,1.0,1.0,1.0,1.0
인천_wind_speed_ms,6132.0,2.7607142857142857,1.347520849668652,0.0,1.8,2.6,3.4,12.7
인천_wind_speed_ms_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_humidity_pct,6132.0,71.93375733855186,18.80256826916752,17.0,58.0,74.0,88.0,100.0
인천_humidity_pct_missing,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
