datetime,mean,std
0,65511.6,5929.246897910217
1,61623.9296875,5451.672424356381
2,59178.96875,5156.860167130119
3,57687.98046875,4925.971453868056
4,56901.6484375,4753.745098777845
5,56998.80859375,4691.869499723507
6,58110.37109375,4926.356984249036
7,60551.93359375,5853.863748982492
8,63718.15625,7967.86809033018
9,66780.734375,10731.79546733427
10,67498.796875,11960.857265728371
11,66970.73828125,12275.774067756674
12,65350.6328125,12299.668357952782
13,63262.572549019606,11962.181628639748
14,65405.09019607843,12529.185705567157
15,66817.43529411765,12549.160192543535
16,68346.5411764706,12226.958933483551
17,70736.7568627451,11861.294432309778
18,72320.58039215686,10998.264513077238
19,73578.25882352941,10023.829321344983
20,73579.33333333333,9335.428632401201
21,71831.63529411764,8485.663899964366
22,69263.5294117647,7455.933107932114
23,67670.46666666666,6557.969288345031
