epoch,train_mse_scaled,validation_mse_scaled
1,0.04006539646733721,0.048624005168676376
2,0.025305044138956553,0.032202281057834625
3,0.0168770308628893,0.030292434617877007
4,0.012243987312973444,0.017705406993627548
5,0.01055072807690425,0.015235965140163898
6,0.00975162080551919,0.012999835424125195
7,0.009112947460046842,0.013533920980989933
8,0.008544588761895738,0.012452970258891582
9,0.008281391631194636,0.012010902166366577
10,0.0078166241351376,0.00936698168516159
11,0.007505794490926022,0.009625314734876156
12,0.0070262537121323874,0.00949973426759243
13,0.006734471796196352,0.008949619717895985
14,0.006238198439336303,0.009543227031826973
15,0.006183145496416068,0.008754883892834187
16,0.005749506562077285,0.009838167577981949
17,0.0055433824321727155,0.008990011177957058
18,0.005299445806765233,0.007475150283426046
19,0.005277051068915599,0.008615097962319851
20,0.005014338814815081,0.00931851752102375
21,0.004848935995702269,0.009269483387470245
22,0.0046931021562005935,0.00924889650195837
23,0.004598399438970303,0.009386095218360424
24,0.004475027547518588,0.008639727719128132
