model,group,n,MAE,RMSE,MAPE_pct
Naive_1h,weekday,930,2458.711827956989,2938.727850362232,3.644416903147378
Naive_1h,weekend,384,1528.4036458333333,1904.2243232974156,2.710198953107584
Naive_1h,high_demand,27,2241.1111111111113,3194.7225695349975,2.745469909120768
Naive_24h,weekday,930,4343.85376344086,6876.388935593186,6.3674520350938515
Naive_24h,weekend,384,5826.825520833333,7137.498268935867,10.247647532979915
Naive_24h,high_demand,27,6851.555555555556,9601.963024607308,8.393438393874247
Naive_168h,weekday,930,2636.974193548387,3706.0993629653326,3.828598977260351
Naive_168h,weekend,384,2245.1588541666665,3037.8883166566816,3.915352069363946
Naive_168h,high_demand,27,5033.592592592592,6137.375717984332,6.157694663560736
SARIMA,weekday,930,557.3394831354478,770.1333573039941,0.8133467038328521
SARIMA,weekend,384,776.3929504519034,1106.5854791957822,1.3919903727351977
SARIMA,high_demand,27,896.0611614943498,1088.3698177323768,1.0955135085262782
LSTM_weather,weekday,930,764.4861156094239,1075.5411660651532,1.1250920777400855
LSTM_weather,weekend,384,659.7095226118497,830.8797521585991,1.1674268550337323
LSTM_weather,high_demand,27,955.9982512948773,1381.0202372623385,1.1709101034314704
LSTM_calendar,weekday,930,914.2776744614353,1308.8341361091104,1.3508490511582436
LSTM_calendar,weekend,384,591.5941653659391,818.3460778882884,1.0446296562926625
LSTM_calendar,high_demand,27,1026.2333065492135,1259.7643898953056,1.2569736404966587
Transformer_weather,weekday,930,743.5181416814982,1012.6527270439717,1.1042010096513022
Transformer_weather,weekend,384,640.992527257403,813.4782807535485,1.1490563633366901
Transformer_weather,high_demand,27,890.7725612094682,1158.671814755958,1.0926329412418825
